event_id,track_idx,predicted_label,predicted_pdg
119.0,0.0,proton,2212
119.0,1.0,proton,2212
120.0,0.0,pion,211
120.0,1.0,pion,211
121.0,0.0,muon,13
121.0,1.0,pion,211
122.0,0.0,muon,13
122.0,1.0,other,0
123.0,0.0,muon,13
123.0,1.0,other,0
124.0,0.0,pion,211
124.0,1.0,pion,211
125.0,0.0,muon,13
125.0,1.0,other,0
126.0,0.0,muon,13
126.0,1.0,muon,13
127.0,0.0,other,0
127.0,1.0,other,0
128.0,0.0,muon,13
128.0,1.0,pion,211
129.0,0.0,muon,13
129.0,1.0,proton,2212
130.0,0.0,muon,13
130.0,1.0,pion,211
131.0,0.0,muon,13
131.0,1.0,other,0
132.0,0.0,muon,13
132.0,1.0,electron,11
133.0,0.0,pion,211
133.0,1.0,proton,2212
134.0,0.0,muon,13
134.0,1.0,proton,2212
135.0,0.0,muon,13
135.0,1.0,electron,11
136.0,0.0,muon,13
136.0,1.0,muon,13
137.0,0.0,electron,11
137.0,1.0,electron,11
138.0,0.0,muon,13
138.0,1.0,proton,2212
139.0,0.0,muon,13
139.0,1.0,pion,211
140.0,0.0,other,0
140.0,1.0,other,0
141.0,0.0,pion,211
141.0,1.0,other,0
142.0,0.0,pion,211
142.0,1.0,proton,2212
143.0,0.0,pion,211
143.0,1.0,muon,13
144.0,0.0,proton,2212
144.0,1.0,proton,2212
145.0,0.0,muon,13
145.0,1.0,other,0
145.0,2.0,proton,2212
146.0,0.0,muon,13
146.0,1.0,pion,211
146.0,2.0,proton,2212
147.0,0.0,pion,211
147.0,1.0,pion,211
148.0,0.0,proton,2212
148.0,1.0,proton,2212
149.0,0.0,muon,13
149.0,1.0,pion,211
150.0,0.0,pion,211
150.0,1.0,pion,211
151.0,0.0,pion,211
151.0,1.0,pion,211
152.0,0.0,muon,13
152.0,1.0,pion,211
153.0,0.0,muon,13
153.0,1.0,muon,13
154.0,0.0,other,0
154.0,1.0,other,0
155.0,0.0,pion,211
155.0,1.0,electron,11
155.0,2.0,other,0
156.0,0.0,muon,13
156.0,1.0,pion,211
157.0,0.0,muon,13
157.0,1.0,electron,11
157.0,2.0,other,0
158.0,0.0,pion,211
158.0,1.0,pion,211
159.0,0.0,muon,13
159.0,1.0,muon,13
160.0,0.0,electron,11
160.0,1.0,electron,11
161.0,0.0,pion,211
161.0,1.0,muon,13
161.0,2.0,pion,211
162.0,0.0,muon,13
162.0,1.0,pion,211
163.0,0.0,pion,211
163.0,1.0,muon,13
163.0,2.0,pion,211
164.0,0.0,muon,13
164.0,1.0,muon,13
165.0,0.0,muon,13
165.0,1.0,muon,13
165.0,2.0,proton,2212
166.0,0.0,electron,11
166.0,1.0,electron,11
167.0,0.0,proton,2212
167.0,1.0,other,0
168.0,0.0,muon,13
168.0,1.0,muon,13
169.0,0.0,muon,13
169.0,1.0,proton,2212
169.0,2.0,other,0
170.0,0.0,other,0
170.0,1.0,proton,2212
171.0,0.0,muon,13
171.0,1.0,pion,211
172.0,0.0,muon,13
172.0,1.0,muon,13
173.0,0.0,muon,13
173.0,1.0,proton,2212
174.0,0.0,other,0
174.0,1.0,other,0
175.0,0.0,muon,13
175.0,1.0,proton,2212
176.0,0.0,muon,13
176.0,1.0,pion,211
177.0,0.0,muon,13
177.0,1.0,pion,211
178.0,0.0,muon,13
178.0,1.0,muon,13
179.0,0.0,muon,13
179.0,1.0,muon,13
180.0,0.0,proton,2212
180.0,1.0,proton,2212
181.0,0.0,muon,13
181.0,1.0,muon,13
182.0,0.0,muon,13
182.0,1.0,pion,211
183.0,0.0,pion,211
183.0,1.0,muon,13
184.0,0.0,proton,2212
184.0,1.0,proton,2212
185.0,0.0,muon,13
185.0,1.0,muon,13
186.0,0.0,muon,13
186.0,1.0,muon,13
186.0,2.0,proton,2212
187.0,0.0,pion,211
187.0,1.0,pion,211
188.0,0.0,proton,2212
188.0,1.0,pion,211
189.0,0.0,muon,13
189.0,1.0,muon,13
190.0,0.0,electron,11
190.0,1.0,proton,2212
191.0,0.0,muon,13
191.0,1.0,other,0
192.0,0.0,proton,2212
192.0,1.0,other,0
193.0,0.0,other,0
193.0,1.0,other,0
194.0,0.0,muon,13
194.0,1.0,muon,13
195.0,0.0,muon,13
195.0,1.0,pion,211
196.0,0.0,muon,13
196.0,1.0,muon,13
197.0,0.0,muon,13
197.0,1.0,muon,13
198.0,0.0,proton,2212
198.0,1.0,muon,13
199.0,0.0,pion,211
199.0,1.0,other,0
200.0,0.0,pion,211
200.0,1.0,electron,11
201.0,0.0,pion,211
201.0,1.0,other,0
202.0,0.0,muon,13
202.0,1.0,proton,2212
203.0,0.0,muon,13
203.0,1.0,muon,13
203.0,2.0,muon,13
204.0,0.0,pion,211
204.0,1.0,other,0
205.0,0.0,pion,211
205.0,1.0,pion,211
205.0,2.0,pion,211
206.0,0.0,muon,13
206.0,1.0,muon,13
207.0,0.0,muon,13
207.0,1.0,pion,211
208.0,0.0,pion,211
208.0,1.0,pion,211
209.0,0.0,proton,2212
209.0,1.0,other,0
210.0,0.0,muon,13
210.0,1.0,pion,211
210.0,2.0,pion,211
211.0,0.0,muon,13
211.0,1.0,pion,211
212.0,0.0,muon,13
212.0,1.0,other,0
213.0,0.0,pion,211
213.0,1.0,other,0
214.0,0.0,muon,13
214.0,1.0,pion,211
215.0,0.0,muon,13
215.0,1.0,muon,13
216.0,0.0,pion,211
216.0,1.0,proton,2212
217.0,0.0,muon,13
217.0,1.0,muon,13
218.0,0.0,muon,13
218.0,1.0,muon,13
219.0,0.0,muon,13
219.0,1.0,muon,13
220.0,0.0,other,0
220.0,1.0,pion,211
221.0,0.0,muon,13
221.0,1.0,pion,211
222.0,0.0,proton,2212
222.0,1.0,pion,211
223.0,0.0,muon,13
223.0,1.0,electron,11
224.0,0.0,muon,13
224.0,1.0,proton,2212
224.0,2.0,other,0
225.0,0.0,pion,211
225.0,1.0,pion,211
225.0,2.0,pion,211
226.0,0.0,muon,13
226.0,1.0,pion,211
227.0,0.0,electron,11
227.0,1.0,electron,11
228.0,0.0,muon,13
228.0,1.0,other,0
229.0,0.0,proton,2212
229.0,1.0,proton,2212
230.0,0.0,pion,211
230.0,1.0,pion,211
231.0,0.0,other,0
231.0,1.0,other,0
232.0,0.0,muon,13
232.0,1.0,muon,13
233.0,0.0,muon,13
233.0,1.0,muon,13
234.0,0.0,pion,211
234.0,1.0,other,0
235.0,0.0,other,0
235.0,1.0,other,0
236.0,0.0,muon,13
236.0,1.0,muon,13
237.0,0.0,muon,13
237.0,1.0,muon,13
238.0,0.0,muon,13
238.0,1.0,proton,2212
239.0,0.0,other,0
239.0,1.0,muon,13
240.0,0.0,muon,13
240.0,1.0,muon,13
241.0,0.0,pion,211
241.0,1.0,other,0
242.0,0.0,muon,13
242.0,1.0,muon,13
243.0,0.0,muon,13
243.0,1.0,muon,13
244.0,0.0,muon,13
244.0,1.0,pion,211
245.0,0.0,muon,13
245.0,1.0,muon,13
246.0,0.0,proton,2212
246.0,1.0,proton,2212
247.0,0.0,muon,13
247.0,1.0,proton,2212
248.0,0.0,pion,211
248.0,1.0,proton,2212
249.0,0.0,muon,13
249.0,1.0,pion,211
250.0,0.0,muon,13
250.0,1.0,other,0
251.0,0.0,muon,13
251.0,1.0,pion,211
252.0,0.0,pion,211
252.0,1.0,other,0
253.0,0.0,muon,13
253.0,1.0,pion,211
254.0,0.0,muon,13
254.0,1.0,pion,211
254.0,2.0,other,0
255.0,0.0,muon,13
255.0,1.0,pion,211
256.0,0.0,proton,2212
256.0,1.0,proton,2212
257.0,0.0,other,0
257.0,1.0,electron,11
258.0,0.0,other,0
258.0,1.0,other,0
259.0,0.0,muon,13
259.0,1.0,muon,13
259.0,2.0,proton,2212
260.0,0.0,muon,13
260.0,1.0,other,0
260.0,2.0,other,0
261.0,0.0,pion,211
261.0,1.0,pion,211
262.0,0.0,other,0
262.0,1.0,other,0
263.0,0.0,muon,13
263.0,1.0,muon,13
264.0,0.0,muon,13
264.0,1.0,muon,13
265.0,0.0,electron,11
265.0,1.0,other,0
266.0,0.0,muon,13
266.0,1.0,other,0
267.0,0.0,pion,211
267.0,1.0,other,0
268.0,0.0,muon,13
268.0,1.0,muon,13
269.0,0.0,proton,2212
269.0,1.0,pion,211
270.0,0.0,muon,13
270.0,1.0,other,0
271.0,0.0,muon,13
271.0,1.0,proton,2212
272.0,0.0,other,0
272.0,1.0,electron,11
273.0,0.0,muon,13
273.0,1.0,muon,13
274.0,0.0,proton,2212
274.0,1.0,pion,211
275.0,0.0,muon,13
275.0,1.0,other,0
276.0,0.0,pion,211
276.0,1.0,pion,211
277.0,0.0,muon,13
277.0,1.0,muon,13
278.0,0.0,muon,13
278.0,1.0,proton,2212
279.0,0.0,muon,13
279.0,1.0,pion,211
280.0,0.0,pion,211
280.0,1.0,electron,11
281.0,0.0,muon,13
281.0,1.0,muon,13
282.0,0.0,proton,2212
282.0,1.0,proton,2212
283.0,0.0,electron,11
283.0,1.0,other,0
283.0,2.0,other,0
284.0,0.0,muon,13
284.0,1.0,muon,13
