event_id,x_reco_ml,y_reco_ml,z_reco_ml,nLinesU,nLinesV
101,-673.697093159928,-718.2518979506981,11779.739102275023,2,2
102,-1538.0350620069103,-1607.9646888707239,14876.952189180072,2,2
103,-2491.540254922863,-2051.5463568216414,12034.30828718612,2,2
104,899.6506435629838,-976.8161118769948,11754.212636249375,2,2
105,1035.067168567613,-1449.6445058040972,12776.44993642932,4,4
106,920.3757634084345,-1184.6500562250724,11972.826146426334,4,3
107,2710.742399200068,-1752.8394255044086,12652.900156181293,2,2
108,1506.4759748810704,-1437.829446230037,13116.758602348884,3,3
109,922.5946985396672,-1559.953827441698,12542.749892158203,2,2
110,1269.5404266988735,-863.4236088761235,12996.69990144436,2,2
111,1422.607997258584,-1030.9025621528183,14035.290847910064,2,2
112,-754.4539235267123,-1545.4269517689172,15629.40600561907,5,3
113,-1714.3263247969287,-1210.111420487346,12869.134402523961,2,2
114,-2666.1715938404213,-1611.0951460089161,11853.284102057012,2,2
115,-2308.594090078772,-1081.773575252657,14581.403566196701,4,3
116,-1455.5864974496662,-1281.2348558395788,14791.88388278727,2,2
117,-2537.191908193385,-1659.084785510401,12252.678868341773,2,2
118,446.1623487976365,-1883.1244850057694,14796.613861598298,4,4
119,-695.094994114513,-630.3748406932123,12876.146349148801,2,2
120,1239.937479782496,-1188.3853970316106,16293.123758855689,2,2
121,1822.844033203703,-1375.3583989290594,13106.721808373795,2,2
122,-1051.5100437492968,-598.0855641080589,15097.32995733939,5,4
123,2196.231496898432,-1395.8657116884688,15512.576639863839,3,2
124,2380.849915585022,-1251.9756875973844,15039.079259579681,2,2
125,1024.4543583325194,-579.3809831815869,11774.736224081196,2,2
126,999.5152419229561,-1386.5855066995866,15568.799887641113,2,2
127,446.96864667739555,-848.9026668328705,15539.39332884598,3,5
128,1350.6623032025686,-1598.6178281411867,13003.366481386629,2,2
129,-31.838411345780575,-765.11700485309,14555.677978979364,3,2
130,-372.8853753086227,-1189.0558563494594,13924.678572731844,4,3
131,-2350.1931903057352,-2337.156922330938,11907.015988805224,2,2
132,1378.8800898666614,-1982.680522174311,11906.268444881032,4,4
133,-1899.115176164173,-1603.017051892925,11831.161329361788,2,3
134,1239.937479782496,-2057.085876696727,13845.852719798702,2,2
135,-2701.238967165711,-2122.455629839834,12922.710321228964,2,2
136,-419.955699032529,-1512.465440258234,12849.705150966369,2,3
137,-1512.9054023036726,-1802.8177048630312,12754.848784396527,2,2
138,642.900757585453,-679.16035189719,13487.581717151957,2,2
139,-1991.2170736615026,-978.561457782509,12401.123427949431,2,2
140,-2074.0110557830503,-1285.579211070378,12952.298293332748,4,3
141,2514.6010942720864,-856.083309852032,11767.292340167249,2,2
142,1391.8808846116362,-2101.4099813516705,12786.18694324722,2,2
143,-1495.2925056881043,-1783.7270267461556,13342.756474747664,3,3
144,1315.7609705692385,-2056.033322030626,12647.30559384632,2,2
145,1888.8475329776998,-649.0179098418569,12509.332049474842,3,3
146,-965.0066422924779,-2054.9710323458958,12902.567774902598,3,3
147,-754.4539235267123,-2245.5804615800726,14864.976811859206,2,2
148,-379.1295388765906,-1271.4485098543948,16089.96060074712,2,4
149,1321.2743214497038,-803.1245079119213,12751.314251506074,2,2
150,-62.11583521964693,-1351.1119263676142,12739.003554369814,4,5
151,-1540.7279972182237,-753.154976645587,14242.915186536464,2,2
152,-825.0604866886449,-1613.8204166657674,14706.680268456355,2,2
153,-2178.1874087815845,-914.8565938803532,14676.30681054554,2,2
154,1315.7609705692385,-1677.416193086976,12355.528162880502,2,2
155,1835.925625557515,-1663.711190621764,12216.183287115282,3,3
156,1696.4612579217148,-1857.2125519028089,12126.953131435195,5,4
157,-607.8235811795403,-779.536566137416,12430.920783390038,3,4
158,-708.1564178773455,-2116.689390977123,16464.722220931133,2,3
159,-914.8035029649179,-756.6738770137645,13899.393608234051,2,2
160,-269.12557268772224,-1204.4575967368091,12475.36150593126,2,4
161,-160.63291464780204,-793.924607573004,11789.224783383777,3,4
162,2503.532068484461,-2078.773315773423,13051.12930230361,3,2
163,24.24368225716522,-1784.7956225887253,12248.892819874125,6,5
164,-833.5699292758743,-732.2932453121014,12259.742030668862,2,2
165,-354.1234887413921,-882.5553701345609,12242.564395183483,3,5
166,-2633.455573921864,-801.6272324391698,12367.337579220095,2,2
167,2445.800826199076,-1832.9264208660004,12377.144589517502,2,2
168,604.5894858670895,-886.7266584355154,15444.014929085768,3,2
169,620.5548542641167,-591.9894772016082,12225.373558717192,3,4
170,1835.925625557515,-1698.0059952852316,12788.142209679716,2,3
171,420.41283028242253,-2133.5444438880118,14904.3323048425,2,2
172,1433.048996049986,-1846.224253013626,15181.794387651336,2,3
173,-485.82921101291674,-1241.8706770483734,12149.32862967306,2,2
174,2480.687315001766,-1584.391637843831,11775.466156971519,2,2
175,1871.602426614023,-1096.1107919146216,11809.081543063849,2,2
176,-2099.345504641017,-1787.3410541906353,13800.921854276232,2,2
177,-948.1564589779861,-1414.6782701845552,12362.395554295934,5,3
178,1457.3711079726304,-1308.2377895907364,12157.975672486426,2,3
179,-305.5736757305107,-1747.7279458126695,13014.455158417028,2,2
180,197.01881116595567,-659.6889803005403,11905.352101470738,2,2
181,-870.3488465228024,-1031.3461335756276,14519.655191430804,2,2
182,-2053.9761104944378,-1749.0266216634423,15164.259368712259,2,2
183,1894.4471800967185,-1431.7625887157153,14289.513740116041,3,4
184,-772.0032324018241,-916.8238519358866,12748.3747198643,3,3
185,714.5939191635615,-996.3623728488076,15343.384150363743,2,2
186,43.92801690827862,-1216.837272912152,12505.409871535421,3,4
187,620.5548542641167,-1376.1215056537887,12255.608506601731,3,3
188,-831.0914563853629,-1369.7848074455023,12717.096676264893,2,2
189,-1369.9256064461708,-467.3732739502059,11907.69318233191,2,2
190,1207.0161499482936,-549.0659940486842,12505.409871535421,4,4
191,2042.436514454299,-1513.628821810797,15681.973635806711,3,2
192,-1879.0563014406553,-1103.7295729252464,15963.849755258972,2,3
193,-2560.652470612029,-1700.5662038221576,12319.999285205131,2,2
194,-871.8674005651375,-1205.0950243360855,14786.307719998826,2,2
195,1291.3519932828558,-2079.8446408190466,15216.624342115725,2,3
196,-2235.7116080244914,-702.0257885018098,13243.410767523508,2,2
197,-2501.7166012547336,-1086.2785077010506,13380.16117577077,3,3
198,-1555.8869770319798,-1220.1710587038035,13579.085402597853,4,4
199,811.3138804829773,-1500.8846440855639,13056.25134537286,2,4
200,-901.2063880224297,-1615.8479100152947,14424.636372210682,3,2
201,-1516.437647365355,-864.3094574316852,12663.932392274648,2,2
202,685.8015069112794,-1239.0546114723707,13125.57156845419,3,2
203,-573.8535279930885,-1088.2635686955266,15353.585044686073,3,3
204,-1511.3624996499525,-1781.7535483660502,14216.186121790875,3,3
205,80.22180567025543,-1014.0824770889534,15281.535086914877,3,3
206,-685.6513874374582,-1061.442612569885,13160.569938618157,3,4
