event_id,x_reco,y_reco,z_reco,multiplicity,mean_start_dist,mean_dca,max_dca,avg_length,avg_nhits,avg_energy,avg_dedx,max_opening_angle,mean_opening_angle,min_dist_to_true,label
0,-2495.160033623152,1200.8657832392396,13713.0,1,0.0,0.0,0.0,1630.1174926757812,24.5,63.311540603637695,0.03883863641001361,0.0,0.0,1216.430875230435,0
0,-801.2493846536108,2189.512025141539,15393.0,1,0.0,0.0,0.0,639.0230407714844,10.5,23.945956230163574,0.037472758730661616,0.0,0.0,1527.9283441568325,0
1,-709.9831647469364,-3437.5659315194007,12000.5,1,0.0,0.0,0.0,517.9115600585938,18.5,60.42860221862793,0.11667745398807348,0.0,0.0,485.3658741881978,0
1,1868.945519234438,1188.2588809077806,14593.0,1,0.0,0.0,0.0,493.4231872558594,8.5,22.71330738067627,0.0460321038153777,0.0,0.0,1013.4533629292027,0
2,-759.0851103707996,-179.7385022667222,16353.0,1,0.0,0.0,0.0,483.9078063964844,9.5,26.63645839691162,0.055044489972718776,0.0,0.0,494.2047031123229,0
2,-1495.7424426878388,-1461.5886077888517,16913.0,1,0.0,0.0,0.0,563.7495727539062,9.0,20.48525381088257,0.036337506582599224,0.0,0.0,817.9226053579756,0
2,-790.4909172783473,-237.99819530632521,17153.0,1,0.0,0.0,0.0,344.9669494628906,7.5,11.296977519989014,0.032747999591202205,0.0,0.0,730.5994824735013,0
3,1233.347676942547,-1677.0492191728845,11780.5,1,0.0,0.0,0.0,580.4494323730469,20.0,76.07100296020508,0.1310553490408365,0.0,0.0,705.5265743380182,0
3,1326.6620861381539,-3501.078680806961,11670.5,1,0.0,0.0,0.0,383.3153381347656,14.5,55.389610290527344,0.1445014190145804,0.0,0.0,405.7109622433084,0
4,1819.9687055981944,-3147.6151429129823,14913.0,1,0.0,0.0,0.0,416.3154296875,7.5,21.716658115386963,0.05216395205839043,0.0,0.0,629.1095969524506,0
4,-3161.9084990071156,630.134382623909,14433.0,1,0.0,0.0,0.0,918.294921875,14.0,31.533177375793457,0.03433883453412564,0.0,0.0,732.50787260231,0
5,-1868.125158729285,1114.5300105704846,14833.0,1,0.0,0.0,0.0,559.3348388671875,9.5,26.274343490600586,0.04697426597601827,0.0,0.0,429.7423316459579,0
5,-399.2216891973567,-1590.9057298267398,15953.0,1,0.0,0.0,0.0,382.5897216796875,6.5,16.737382411956787,0.043747600794068614,0.0,0.0,744.1295579380219,0
6,-1365.5229280310605,759.8290262649552,11505.5,1,0.0,0.0,0.0,137.94090270996094,7.0,15.946536540985107,0.11560411906622663,0.0,0.0,482.73320563825547,0
6,-1512.013093186833,-2767.5133500362826,15073.0,1,0.0,0.0,0.0,1068.826904296875,17.0,55.47896194458008,0.051906404789722964,0.0,0.0,1045.7455364209457,0
6,-2281.906952520731,-1910.0775007055224,12275.5,1,0.0,0.0,0.0,788.6451416015625,19.5,60.301185607910156,0.07646174740321343,0.0,0.0,685.9165262803514,0
7,141.14340020682084,-15587.568038068683,14913.0,1,0.0,0.0,0.0,338.9637451171875,5.5,14.742900848388672,0.043494034570840945,0.0,0.0,9218.430468011828,0
7,2522.784432790543,-2969.7864801944143,16113.0,1,0.0,0.0,0.0,303.7157745361328,5.5,13.477885723114014,0.04437664044186997,0.0,0.0,959.9044903512553,0
7,844.4143284957631,2332.3959698926046,16753.0,1,0.0,0.0,0.0,302.870361328125,6.0,14.69911527633667,0.04853269633872124,0.0,0.0,1784.9173961713004,0
8,-2250.8887109964553,3480.0678483367105,11780.5,1,0.0,0.0,0.0,230.16332244873047,6.5,10.652255058288574,0.04628128819552209,0.0,0.0,3404.61077538316,0
8,2948.400360943435,5497.5852323143845,14913.0,1,0.0,0.0,0.0,461.6184844970703,7.0,21.85485315322876,0.04734397318824754,0.0,0.0,4923.684491247222,0
9,856.9487833944977,-20.818442769523244,15393.0,1,0.0,0.0,0.0,541.5974731445312,10.5,27.748313903808594,0.05123420119134058,0.0,0.0,331.3806054008027,0
9,817.170004729677,-1806.9336459661426,15473.0,1,0.0,0.0,0.0,454.6478271484375,9.5,20.307774543762207,0.044667044096819014,0.0,0.0,840.9587778700707,0
10,-643.7455790442716,1096.5741074672696,14753.0,1,0.0,0.0,0.0,474.7734680175781,9.5,14.234961032867432,0.029982638019571038,0.0,0.0,835.8270440990201,0
10,-1162.018029292581,-21032.624400738685,14593.0,1,0.0,0.0,0.0,337.8823699951172,6.5,9.978372812271118,0.0295320907463012,0.0,0.0,14387.514500607578,0
