pdg,label,length,nhits,dca,angle,dist_to_vtx,z_depth,start_z,end_z,straightness,total_energy,dedx,length_rank,is_longest,z_depth_rank
22,other,1709.047,29,117.97279157786801,40.75686544845087,307.36818287407965,1620.0,11973.0,13593.0,43995.340668648816,46.069595,0.026956307,2,0,2
211,pion,944.161,11,102.28340646394699,11.98042453883763,468.83164962174277,660.0,11973.0,12633.0,413.90950045125896,38.16735,0.04042462,3,0,3
13,muon,5121.6396,68,1316.6460192699828,20.378304620290606,3914.7476728023444,4620.0,11533.0,16153.0,29175.72934871733,184.91457,0.036104564,1,1,1
2212,proton,1244.383,17,2449.573100953379,55.23810822983118,2971.9475281543387,715.0,12028.0,12743.0,12235.587768701605,50.36143,0.040471002,2,0,3
13,muon,1001.2094,14,3301.2724977598623,112.40651177900291,3551.168435337726,880.0,15033.0,15913.0,979.0912082440536,31.192194,0.031154515,3,0,2
13,muon,2881.7288,42,696.686552598609,60.663964179425115,858.7099378543852,2850.0,12743.0,15593.0,11432.291016350586,128.4033,0.044557735,1,1,1
2212,proton,2433.048,22,696.6865525986088,19.476353941421806,2455.485019343874,1320.0,11698.0,13018.0,14163.540567370721,63.808243,0.02622564,2,0,2
211,pion,981.62335,20,140.91999127637257,145.9969780299154,443.0521520559452,900.0,12853.0,13753.0,16416.166159466822,72.07929,0.07342867,1,1,1
2212,proton,699.38354,8,140.91999127637348,8.754149110479384,1127.0462526916308,330.0,12908.0,13238.0,1397.2436066769303,20.828934,0.029781846,2,0,2
13,muon,2781.6897,45,372.8969581724005,176.7960169685537,3303.108834471891,2490.0,12303.0,14793.0,11341.410842069252,186.06432,0.06688896,1,1,1
13,muon,2078.4663,36,372.8969581724005,5.746368221477059,3571.7124387766517,1910.0,12083.0,13993.0,1154.8736414489094,133.30362,0.06413557,2,0,2
13,muon,3655.9883,46,473.4091310584183,8.525316512608248,3823.8937735712793,3440.0,14073.0,17513.0,18813.89205723525,133.56091,0.036532097,1,1,1
13,muon,2622.7546,45,473.4091310584189,5.564348914275417,5987.385911428353,2530.0,11863.0,14393.0,20572.193063526858,91.155876,0.034755778,2,0,2
13,muon,2683.5542,43,265.9078192487679,167.16062267164153,673.2809634830605,2585.0,11808.0,14393.0,7836.7841905881005,114.80747,0.04278187,1,1,1
13,muon,2050.4333,27,265.90781924876717,175.2938488174001,2261.549528473668,2000.0,14633.0,16633.0,5794.192178025521,88.9897,0.043400437,2,0,2
13,muon,3256.9175,41,302.74019025288254,170.8779718825126,2681.611397174809,3040.0,14233.0,17273.0,15586.32742285318,134.12619,0.041181944,1,1,1
-13,muon,2073.4233,31,302.7401902528823,82.5171626816629,468.0018704212152,1810.0,11863.0,13673.0,13843.603695109306,115.0996,0.055511866,2,0,2
13,muon,4100.691,50,134.9992330073903,153.39792086750833,1120.7367036411897,3020.0,12413.0,15433.0,35553.28654877009,118.896286,0.028994208,1,1,1
2112,other,1382.18,19,134.99923300739053,15.35024396440053,960.007186526502,935.0,12523.0,13458.0,11525.174930234125,40.24779,0.029119065,2,0,2
13,muon,2514.6184,38,460.59357500085434,142.7372746007454,853.1584274783538,2480.0,12633.0,15113.0,9715.726664498863,77.36263,0.030765157,1,1,1
13,muon,2424.6765,32,460.5935750008546,55.63846651814075,472.5668586358572,2295.0,13458.0,15753.0,5864.155763056421,63.74621,0.026290603,2,0,2
2112,other,2405.3862,29,19.870705315560777,40.61195294029389,471.9084593296614,2320.0,13993.0,16313.0,38216.602940809265,40.50843,0.016840717,1,1,1
2112,other,2129.363,23,425.1260212865999,36.387166204912745,843.2127652259015,2080.0,13913.0,15993.0,26065.86064122474,38.39775,0.018032506,2,0,2
2112,other,1577.1287,11,427.99948186458795,35.56689170507796,741.0136082055112,1520.0,13753.0,15273.0,266.74536957751434,16.689342,0.010582106,3,0,3
13,muon,2790.267,37,1409.467269932105,16.480363765629768,4712.210906660963,2560.0,14953.0,17513.0,6068.974868553414,83.66482,0.029984519,1,1,2
