pdg,is_muon,length,nhits,dca,angle,z_depth,straightness,total_energy,dedx
13,1,2852.5374,28,57.14344695572903,48.165024944006475,2400.0,3916.6195920453465,123.80574,0.04340197
13,1,1292.1604,20,1088.284599323547,102.79677199572389,1280.0,56016.240003901534,52.298565,0.04047374
13,1,3007.6343,33,101.51348333559203,133.7358258378427,2480.0,23888.89808952302,60.890038,0.02024516
-321,0,2345.0154,24,941.7406404775303,92.41452837996026,2320.0,8020.321476037741,44.202667,0.018849628
13,1,1753.5011,22,532.3148665301703,17.418439970157486,1600.0,17324.776573875428,82.20568,0.046880882
13,1,1273.1777,19,60.61731612293577,42.665386645390015,1200.0,18507.955960512834,35.85825,0.02816437
13,1,2789.7498,38,263.6782475127893,98.78464195279145,2640.0,75191.76039291604,112.57371,0.04035262
13,1,2561.5269,29,123.76297881235702,106.78663115407547,2560.0,88.29893548134241,61.62561,0.024058156
13,1,3103.658,34,390.48637966143576,37.44141885079121,1860.0,10592.633804633966,81.522934,0.026266726
22,0,1709.047,29,257.56428538262264,104.47945145778225,1620.0,43995.340668648816,46.069595,0.026956307
211,0,944.161,11,121.86317131201753,62.49678006783872,660.0,413.90950045125896,38.16735,0.04042462
13,1,5121.6396,68,170.15114580411552,40.03640163737075,4620.0,29175.72934871733,184.91457,0.036104564
2212,0,1244.383,17,76.03170633084143,170.80972940682324,715.0,12235.587768701605,50.36143,0.040471002
13,1,1001.2094,14,611.7104498442944,83.35156767845442,880.0,979.0912082440536,31.192194,0.031154515
13,1,2881.7288,42,173.6931087354729,114.7835427334446,2850.0,11432.291016350586,128.4033,0.044557735
2212,0,2433.048,22,104.91086538710529,12.534323461403867,1320.0,14163.540567370721,63.808243,0.02622564
211,0,981.62335,20,566.0448687198549,68.33588712298021,900.0,16416.166159466822,72.07929,0.07342867
2212,0,699.38354,8,92.22472126441099,17.626799365232365,330.0,1397.2436066769303,20.828934,0.029781846
13,1,2781.6897,45,62.86197736315153,90.97610271474812,2490.0,11341.410842069252,186.06432,0.06688896
13,1,2078.4663,36,181.85800212080713,60.8428786733816,1910.0,1154.8736414489094,133.30362,0.06413557
13,1,3655.9883,46,374.3750608345485,81.51940193379274,3440.0,18813.89205723525,133.56091,0.036532097
13,1,2622.7546,45,135.57296120050816,81.57586768052342,2530.0,20572.193063526858,91.155876,0.034755778
13,1,2683.5542,43,25.68050616888813,109.84571760224902,2585.0,7836.7841905881005,114.80747,0.04278187
13,1,2050.4333,27,60.01996254424175,101.40705369557652,2000.0,5794.192178025521,88.9897,0.043400437
13,1,3256.9175,41,140.57861393420686,169.17296720320513,3040.0,15586.32742285318,134.12619,0.041181944
-13,1,2073.4233,31,363.42790520914525,42.93964477234951,1810.0,13843.603695109306,115.0996,0.055511866
13,1,4100.691,50,217.90847943540163,127.92040842606951,3020.0,35553.28654877009,118.896286,0.028994208
2112,0,1382.18,19,516.5089947684486,45.72315508855157,935.0,11525.174930234125,40.24779,0.029119065
13,1,2514.6184,38,83.26623003140527,34.67186154292926,2480.0,9715.726664498863,77.36263,0.030765157
13,1,2424.6765,32,295.6584392415494,97.43079153128652,2295.0,5864.155763056421,63.74621,0.026290603
2112,0,2405.3862,29,447.5807930641462,117.95578368909582,2320.0,38216.602940809265,40.50843,0.016840717
2112,0,2129.363,23,361.14070639874825,81.9239207046861,2080.0,26065.86064122474,38.39775,0.018032506
2112,0,1577.1287,11,488.5186843808729,91.70987814543815,1520.0,266.74536957751434,16.689342,0.010582106
13,1,2790.267,37,84.42423105134175,82.13605095627449,2560.0,6068.974868553414,83.66482,0.029984519
13,1,2627.1438,30,20.529111956004236,5.997120479993832,2625.0,41.85788239718367,134.70595,0.051274676
211,0,1203.2538,9,3254.769652002065,100.24744949590668,1200.0,354.0807017780712,15.024564,0.012486612
211,0,1391.0345,21,452.33719021278966,61.28064330912911,1360.0,36041.525116869656,48.97938,0.03521076
211,0,1645.0204,16,473.9802902847954,145.32875837829548,1040.0,3213.0799304748252,23.498917,0.014284879
2112,0,1304.1224,14,498.7160097711853,74.98346884919775,1120.0,9940.62246297976,31.817627,0.024397729
211,0,1021.4213,17,72.43572338544388,115.56517938882892,960.0,15064.722149348663,30.843235,0.03019639
13,1,3583.824,51,835.8136190023367,93.88940296578373,3360.0,89237.18146282634,150.84215,0.04208972
22,0,1457.1522,12,217.32434561433456,16.65201242643857,720.0,3728.8163768965337,23.986912,0.0164615
2212,0,1752.1213,31,193.0226285177223,71.79514819770586,1595.0,18260.693117498035,67.34358,0.038435455
-211,0,1440.1403,19,669.5717229264486,140.76747249675392,990.0,5296.013062239518,19.19744,0.013330257
13,1,1761.7242,25,113.33019959062898,74.35448027355837,1760.0,2291.3626456473166,64.30075,0.03649876
13,1,1713.9778,21,46.508663520017414,153.41991247590795,1600.0,2224.197642180783,66.10282,0.038566906
13,1,2911.4514,42,163.96660715911565,98.95569419385961,2745.0,33806.88133083686,125.171165,0.042992704
2212,0,988.41125,18,374.05452967824215,92.77765348109699,955.0,21274.230186551213,80.39741,0.08134004
13,1,3031.345,43,317.9126536339814,87.28814559409378,2955.0,11572.177968970345,99.16457,0.032713063
13,1,1240.6058,14,168.1313893745681,41.50829080844126,1200.0,8622.993856898758,65.77368,0.05301739
13,1,4681.674,71,277.76742501624096,91.29680450359035,4535.0,16864.668347869385,217.6784,0.04649585
13,1,3340.4177,48,252.569302426844,157.5288861539653,3200.0,27304.20527370807,159.35435,0.04770492
13,1,2654.4014,32,202.01115281409864,124.92508168846929,2400.0,25597.642746945847,82.11688,0.030936122
211,0,1227.2651,14,747.8144147890138,36.461955615565756,880.0,25134.31522410579,19.598125,0.015968941
13,1,3809.1018,48,98.82833884811907,63.243554987371844,3630.0,15264.06992334785,204.58899,0.05371056
2212,0,886.3299,15,186.34831358617006,122.19811912189229,660.0,1356.9717018842848,47.40082,0.053479888
2212,0,2246.2185,30,198.3396407103725,83.77793431638673,2160.0,12069.0733052801,61.192856,0.02724261
13,1,1629.5062,10,65.14253483239108,39.00902380529365,720.0,9653.655945335664,17.222416,0.010569101
13,1,2079.7554,26,842.4261861107742,58.33890302267177,1840.0,5892.014305877105,62.099167,0.02985888
13,1,1073.0653,17,312.80818073790806,53.41976196672646,795.0,2716.635445090705,58.198845,0.05423607
211,0,745.83246,15,485.5359543212089,95.1282198329083,715.0,565.3103073928968,29.986425,0.04020531
211,0,1195.211,11,54.10496388478973,173.749476530558,440.0,1618.8018150405233,17.179344,0.014373481
13,1,1874.6637,21,666.7296412271851,95.57091452427741,1730.0,85082.75413944872,32.738346,0.017463583
-211,0,1841.4365,22,93.50249275370172,65.4247616928455,1600.0,43859.35946678412,40.00228,0.02172341
22,0,1763.3567,14,235.5076519282296,42.85389272119464,740.0,12968.894362847166,14.817857,0.00840321
13,1,3044.951,41,243.90378091250247,177.0601767426853,3020.0,3219.554731220347,88.04477,0.028915005
13,1,1775.0936,24,205.21757061678198,46.671864602248355,1175.0,25177.434479179105,70.00358,0.039436556
211,0,1447.8337,24,247.03971694007916,167.04405805629784,1280.0,92631.79306610655,75.31311,0.05201779
22,0,1905.7897,14,270.70029605666787,67.70130375634575,1680.0,7753.5903739983605,18.365837,0.009636865
13,1,3353.1108,42,249.40716955418392,111.56153993874308,3280.0,8275.285136994613,94.414734,0.028157355
13,1,1445.0667,17,61.04736393014608,137.37769361220342,1120.0,2985.6014707964937,49.57394,0.034305643
13,1,1743.3091,21,147.44082779644157,47.68676680110724,1440.0,8915.406377172902,61.478577,0.03526545
-211,0,1168.062,15,136.4177206456181,146.69328743647625,825.0,10532.546243593535,32.427574,0.02776186
-211,0,2372.3955,14,312.854666626851,162.42942750823633,660.0,4381.397535736249,79.78204,0.033629317
13,1,5434.283,75,459.0348797379621,125.12803698232246,5225.0,62512.9854886824,161.57053,0.02973171
2212,0,919.72565,17,220.10894842344632,101.39631662456742,880.0,2633.8272714621503,62.128227,0.06755082
13,1,5566.0815,81,138.38192048276292,107.74431017951534,5380.0,5172.278427361765,205.32234,0.03688813
13,1,1833.1945,20,53.361177290666504,126.63003671780957,1440.0,7171.191033314884,66.89992,0.03649363
130,0,1794.9279,18,105.2818350050092,39.73151772795875,1600.0,21860.890257931565,30.894674,0.01721221
2112,0,1666.0814,14,605.0517658860834,22.967029307013537,880.0,29553.60841134179,36.439144,0.021871166
2212,0,874.9127,18,204.61178868360807,82.92553968590157,795.0,47344.26295361959,72.871704,0.08329026
13,1,1665.4479,22,62.97355776177219,146.74775819658817,1600.0,3664.965173399789,46.30401,0.027802737
13,1,1627.6812,20,62.70021440472531,28.073131764209958,1440.0,1519.6484213336687,49.168343,0.0302076
13,1,939.6507,13,950.6443404939274,78.94227241760531,880.0,84005.85311683804,38.29565,0.040755197
22,0,2748.6003,32,585.9903788353486,20.046722595094835,2050.0,46645.259562029794,59.74048,0.021734873
-211,0,1450.4314,24,275.8254235601502,113.20275018669213,1450.0,10705.532453735774,35.148415,0.024233077
13,1,4952.31,67,81.0400128129251,91.83242650189207,4435.0,23686.467669415477,145.38176,0.029356353
22,0,1389.6489,14,295.6323304709441,28.150355458536495,605.0,2557.2053473423953,23.14008,0.016651746
13,1,2401.0425,34,112.37382076827052,142.09684448457685,2400.0,4248.088263216197,93.70698,0.03902762
13,1,1664.0059,18,71.296921461538,115.85409855825358,1120.0,35363.38355887978,51.580093,0.030997543
13,1,3323.08,53,136.06119788799663,90.32241847538988,3305.0,41807.68960920849,178.69922,0.053775176
-211,0,1297.8801,27,240.28176728280275,13.441028837443367,1155.0,35704.36707084981,128.43349,0.098956354
13,1,1225.3818,20,160.07732453111427,114.42685208994142,1215.0,53759.93788312319,30.593058,0.024966143
2112,0,817.5604,13,480.5369511849397,40.55910020942144,680.0,23944.27845497236,20.23115,0.024745755
13,1,5752.087,76,98.16044751646899,146.50054187751198,5525.0,8365.634650182003,229.93675,0.039974492
13,1,1741.9073,24,74.70577135538333,128.21989102159438,1200.0,29649.288334135956,79.87853,0.045856934
13,1,1641.0023,22,279.1451289772953,113.34390159458738,1600.0,2440.354821327623,63.650555,0.038787607
-211,0,1498.9446,18,626.5293428433978,24.211006928921197,660.0,16287.776333687307,70.43976,0.046992905
211,0,1405.4978,24,30.935423410996094,54.16360782763212,1360.0,3506.285143507565,28.700645,0.02042027
22,0,1590.1099,11,1651.6302048122914,122.05327796875395,1440.0,42056.30981436356,38.447754,0.024179306
13,1,6409.773,88,296.2351241811555,136.39810645922955,6160.0,68814.53896164133,176.32352,0.027508544
-211,0,1690.0992,23,368.4140341600653,64.93931810953048,1375.0,3191.116549005071,43.819458,0.02592715
2112,0,2927.894,44,345.1316424768379,159.75453355750915,2910.0,63183.25556608173,83.58194,0.028546777
211,0,1530.1816,23,1001.5515380536493,52.45458543075232,1155.0,17166.26212835689,40.72913,0.026617186
13,1,1306.7462,14,116.78137970064859,31.06652072926992,800.0,3484.4626227523213,50.00522,0.03826697
22,0,800.0,10,225.09196746200922,84.13131444037163,800.0,63.42094659564217,18.251505,0.022814382
13,1,3731.8127,63,771.3473322420801,77.798132773758,3460.0,431294.34226823103,95.66196,0.025634179
22,0,2819.468,46,200.55758941863886,110.87454871055513,2580.0,46129.013606832465,58.95449,0.020909792
13,1,1996.659,29,353.51374381790214,60.06480155093127,1665.0,9051.412149245258,109.78587,0.054984786
211,0,1568.804,11,364.8839893708278,31.245229873273466,880.0,7314.862666914734,20.40657,0.013007725
-13,1,1589.8002,20,124.10840307391723,28.14861443965005,1520.0,113275.2328364426,28.26567,0.017779386
22,0,843.5983,13,325.6378806445797,117.97333763985958,720.0,825.010323254073,24.805807,0.029404761
13,1,1763.9583,35,184.14952701856728,111.4302333281614,1595.0,10065.20190629463,121.26522,0.06874608
2212,0,1069.5662,18,650.4820434605746,55.10762943272015,825.0,8136.732287574946,77.09009,0.07207604
-211,0,1188.4929,21,88.52871238187642,63.57692138095116,1140.0,569.3146712529581,42.933132,0.036124013
22,0,1076.5353,12,27.779280452529854,61.87081471780632,900.0,30011.781361382502,45.841003,0.04258198
13,1,2707.4148,44,96.58060381900724,78.50314328473749,2630.0,8764.400754380853,120.33506,0.04444648
13,1,836.7856,11,189.28401764630675,146.87966206888768,560.0,1384.0278881344618,31.808224,0.038012393
13,1,5062.3633,63,223.56912759836132,110.94944868490916,4895.0,77833.20065064484,161.78244,0.031957887
22,0,1169.0599,9,124.02804666877728,26.613059202068204,1125.0,285.3043125047222,28.33937,0.02424116
13,1,2550.3843,40,97.664724006909,103.78813423212995,2540.0,655.3459646956721,85.12498,0.033377316
22,0,962.39703,12,138.5365499265574,141.48570961093597,605.0,3037.5564821956305,24.759514,0.025726922
211,0,628.53564,8,114.71946792160847,147.5295413543266,550.0,129.13673263981036,15.854984,0.025225274
13,1,1987.0026,20,64.95781903977861,55.87563929165578,1920.0,2787.010029916012,46.594177,0.02344948
13,1,1216.6407,12,85.75935612603429,103.84888183107752,880.0,737.0356234451237,32.2063,0.026471494
211,0,2401.6284,37,220.6426207898912,83.43664987967801,2400.0,293045.02773000696,88.616806,0.03689863
13,1,1808.3976,25,78.68206130053755,58.63396175558972,1760.0,7851.93122050809,55.64113,0.030768195
211,0,2498.3591,18,71.54393565637801,33.40060858196796,2160.0,29519.65239355001,30.431236,0.0121804895
13,1,3503.508,46,52.601841209741075,74.93213788017599,3455.0,14228.178551702948,151.87486,0.04334937
13,1,1515.2151,14,123.351863358705,11.817817767358305,990.0,1340.7123188818407,48.972187,0.032320287
2212,0,1637.6161,16,593.5292241345708,28.55033767498304,790.0,1870.20943868726,108.54934,0.06628498
2212,0,676.90906,12,106.17145042408018,161.49146226640804,630.0,32568.25144282615,17.882217,0.026417458
