event_id,track_idx,truth_vtx_id,pdg,is_muon,chord_length,polyline_length,nhits,z_depth,straightness_mse,total_energy,dedx_chord,dedx_poly,dca_to_reco_vertex
0,0,100,13,1,3972.477294921875,4179.552734375,48,3840.0,13072.3662109375,123.97760009765625,0.03120914001349741,0.02966288691083965,658.957736331142
0,1,102,13,1,1715.931884765625,3737.83349609375,22,1520.0,147343.078125,49.12782669067383,0.02863040609411141,0.013143396232607798,658.9577440069716
1,0,798,13,1,2004.6732177734375,2614.98046875,38,1780.0,26208.15625,126.0400390625,0.06287310966447235,0.0481992277069469,922.0279256099949
1,1,800,2212,0,1337.82958984375,1462.322998046875,17,1280.0,621.92333984375,45.42661666870117,0.03395545816414983,0.031064694140333155,922.0279002589047
2,0,1639,13,1,1391.409912109375,2687.2783203125,19,1280.0,16685.16015625,53.272918701171875,0.03828700531564435,0.019824116578656743,342.2562407806485
2,1,1638,211,0,1089.0557861328125,2698.9873046875,17,1040.0,83091.5390625,27.933176040649414,0.025648985475609887,0.010349502567920983,342.25624001568315
3,0,1835,13,1,2186.62353515625,4024.6474609375,39,1920.0,85020.6796875,141.3340301513672,0.06463573993374577,0.03511712057344891,64.72036091839938
3,1,1835,-211,0,2397.6484375,5755.73193359375,30,1320.0,96622.21875,111.25442504882812,0.04640147542432527,0.01932932706603022,64.7203527270957
4,0,2474,13,1,2267.241943359375,2297.683837890625,27,2240.0,386.79376220703125,60.50943374633789,0.026688564898671992,0.026334969480347747,2553.813977239811
4,1,2475,321,0,1905.083740234375,2981.784912109375,15,1040.0,37333.0,43.433319091796875,0.02279864038231382,0.014566214657338,2553.8139793915943
5,0,3667,13,1,1280.1221923828125,1285.7947998046875,18,1280.0,91.58478546142578,47.42803192138672,0.037049613078814325,0.03688615938452314,540.6219876561147
5,1,3671,13,1,904.677734375,1054.517578125,12,800.0,4132.74853515625,29.348148345947266,0.03244044506768208,0.027830876369202076,540.6219956912025
6,0,4975,13,1,2601.8564453125,3834.450927734375,40,2520.0,26777.396484375,121.28703308105469,0.04661557454469296,0.031630873720091754,645.0283155948671
6,1,4975,13,1,2498.158203125,2566.472900390625,32,2480.0,2293.67822265625,99.79424285888672,0.03994712694098074,0.03888380931031757,276.0645235659105
6,2,4979,211,0,609.1219482421875,676.7701416015625,14,605.0,145.45742797851562,31.89307403564453,0.052359095133055054,0.04712541537392627,895.1153474609064
7,0,5225,321,0,723.467041015625,730.499267578125,9,720.0,148.51234436035156,28.374713897705078,0.039220465189225194,0.03884290533483728,15.409810156587332
7,1,5224,13,1,736.193359375,837.232666015625,10,640.0,1733.8150634765625,22.66330337524414,0.030784444177117298,0.027069301396347074,15.409887688408054
8,0,436,13,1,2488.141357421875,2801.895263671875,29,2320.0,15086.05078125,104.83651733398438,0.04213446998148542,0.037416287001604924,1494.525711559906
8,1,433,22,0,1678.4163818359375,2147.32861328125,15,1100.0,12367.7001953125,23.411348342895508,0.01394847464327474,0.010902545701713316,1494.525727725207
9,0,595,13,1,1330.0703125,3117.232177734375,23,1280.0,112787.5,70.40141296386719,0.05293059494842848,0.022584590736207336,0.736140162583256
9,1,595,211,0,1673.3140869140625,3514.263671875,20,1520.0,17526.037109375,49.884857177734375,0.02981201052919621,0.014194967092813161,0.7361374437243082
10,0,770,13,1,5396.76904296875,6434.8984375,52,5385.0,26951.13671875,199.02040100097656,0.036877694675534214,0.030928289379233354,784.8486631070397
10,1,779,13,1,1377.8316650390625,1983.294677734375,17,1040.0,4445.1650390625,22.16620635986328,0.016087746364309933,0.011176456332341364,454.9893446007459
10,2,779,2212,0,907.8412475585938,1909.0526123046875,13,880.0,29943.529296875,19.956745147705078,0.021982637604728388,0.010453742877003513,473.3445942385927
11,0,2042,13,1,3749.110107421875,4408.10498046875,50,3555.0,22066.33984375,113.62193298339844,0.030306373973511293,0.025775686715001075,45.44377506293264
11,1,2042,2212,0,2842.6259765625,3464.926513671875,16,1545.0,26264.966796875,57.538734436035156,0.020241401756841387,0.016606047547905952,45.44377541693045
